user,text
Plume_de_Colomb,@Ja870B @tylerbice4 @JoeBiden Do you have a link about trump’s insulin cost actions? Here are links to the insulin capping change and other cost lowering actions : https://t.co/ilM2kQX3Lo                            https://t.co/GTK6HbgZwG
RealCuda,@MatthewJshow @JoeBiden Resign!!!
pepehelp21,@JoeBiden Your progressive agenda train has just pulled into the station for retirement
AndyAndrus7,"@JoeBiden I'm excited to see WHO is next.
Can't happen soon enough.
Stop taking credit for backpedaling your Trump policy reversals."
o0jimtube0o,"@JoeBiden You are a bad joke! Please dont do anything else, you have nearly ruined the whole world in 3 years! Fact check it, jack."
Phoenixryan14,"@RWerthe @SusieGr32811476 @TimRunsHisMouth @JoeBiden Nope, you're wrong. It was based on income. 350% of poverty level or less"
zoobee627,@hrkbenowen Creepy Joe Biden.
JoeyCaruso3,@Eledium2016 @JoeBiden Lol I know
SillyBrain123,Joe Biden 👉🏼💩and his cesspool administration 👉🏼💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩 aren’t concerned about the hundreds of thousands of illegal border crossers yet but they will when the foreign criminals start breaking into their houses to rob them
BubbleLad777,"@RonFilipkowski But when Joe Biden feels up an 8 year old's breast, you see nothing wrong with it - Ron the hypocrite"
PershingSoldier,"@RitchieTorres @EliseStefanik Ritchie why don’t you lead the way by condemning notorious liars Bill Clinton, Liz Warren, Barack Obama, Joe Biden, Chuck Schumer and Nancy Pelosi.  We’ll wait.  #DemocratsAreDestroyingAmerica @the53rdregiment"
TheThirdFlash,@akafacehots @louis_belfort @UniSolve1 @ZaleskiLuke @elonmusk BRAINWASHED Right: It's all Joe Biden's fault. https://t.co/FzT0tvxPR3
Brett7321,@JoeBiden We look forward to you resigning
PolPhysMD,“Joe Biden…committed this impeachable offense that has conservatives up in arms” - Right News Wire https://t.co/GejCoBSELi
RahimEl3,@JoeBiden Not so fast Brandon you showered with your daughter………creep
jamie_l_dawson,@TimRunsHisMouth @JoeBiden That would be the goal. Joe has never tweeted a day in his life
PattyMa85278718,@hrkbenowen Joe Biden
BadmouthDave,@hrkbenowen Joe Biden. By a multitude.
jj_talking,@Charlen60403930 @HustusMichael @StephenM Joe Biden says he doesn't even know what he is signing and Nancy Pelosi says sign it anyway https://t.co/Cb59drxHWq
Devildog4070,"@averybryce28 @redshif42725685 @luckey_twitt @fair_josie @JoeBiden Quite the projector aren't you Avery, exactly how we got a substantial portion of the population that truly believes the gop are fiscal conservatives, small government and going to save them from the evil dems."
omatsu_o02,@JoeBiden FJB!
RogerAtlas4,@JoeBiden @perchance99 Wow!  You really have NO CLUE what’s going on in your country. Pathetic!
texasaintblue,@JoeBiden Trump did it first. It’s like you revoked everything Trump did just to redo it and take credit for it. Wouldn’t be the first time you were caught plagiarizing or taking credit for shit that you didn’t do. 💀🤡
Aggieord89,@JoeBiden Awful year. Pathetic performance.
Wayne08714426,@RNCResearch Joe Biden is the worst of the worse he has done nothing for this country Joe Biden is a loser a fraud and should just be gone
Paoula00,@JoeBiden I love the smile
TomLitman4,"@JoeBiden Such misinformation &amp; corrupt lies! Crippling inflation, record interest rates, irresponsible spending, energy manipulation &amp; now recession!"
CplFlume,"@JoyMiddaugh @graceand_truth @JoeBiden They showed their work, Joy.  Are you in the habit dismissing as ""biased"" anything that doesn't conform with what you want to believe?

Maybe you can show the study you read that evaluated the same data and came up with different conclusions?"
DrJoeyLodes,"@holymoosepoop2 @RonFilipkowski You know Joe Biden inappropriately showered with his daughter , right ?   Her words not mine … in her diary … a diary which the FBI raided Project Veritas over .. so you know it’s legit."
TheModAlicee,"@thebradfordfile Joe Biden loves his pawns, as do the Democratic voters"
pepehelp21,@JoeBiden Never say anything about gun control again
scottcookee,Scary but True! @JoeBiden https://t.co/ksNGTcj7Tg
mkkaonly,@tedcruz do you mean Joe Biden that you have devalued the dollar so bad we will not know it in a couple more months. Do you have your own printing press in the back room because you are giving it away like you are making it.
_MycroftXXX,@WeberDarlene Granddaughter Lucy when I said Joe Biden. https://t.co/WEEr2fyR1X
EhrenfeldJe,@JoeBiden Fake more money in your back pockets
Justhavingfun_2,@37noah @bobsuncle2020 @FoxNews @JoeBiden @KamalaHarris 100% agree. You all read the same book.
jennyblah92,@TimRunsHisMouth @JoeBiden Communities safe? Seriously? Like #Eudora where law abiding citizens are locked in their homes 12hrs/day bc of crime? Like that? #FJB
misty_alan,@pouchon87 @SerenityNow10_4 @ACTBrigitte Ok Joe Biden you only believe what CNN tells you say. Nice try though.
Bennycaleny,@JoeBiden It’s sad to watch you speak. Dementia is real and your health is not good.
cliffordribner,Good Old Joe #biden #corrupt #corruption #president #wealth https://t.co/UacrFZMp6x
Do1Constantine,The helpful people of yachting are going to be my brethren forever. They have a great way about them. Maybe it's the wealth. But either way I love their company. @JoeBiden @elonmusk
logical9champ,@sadketchupp @kaelyxm @DaBears7878 @JoeBiden You will pay more.  Shame.
MyTazinjcksn44,@JoeBiden They already had that 2 years ago and you canceled it
retzerdoc1,When republican party take over the house they need to chock out these free for all  programs joe Biden administration trying to give away money. Not tell the American people truth they are going to have paid higher taxes nothing is free in this country. Dr Retzer
LuisFPR47,@mistymeadow22 @PeteESunshine @keith_mchenry @JoeBiden Here comes...... https://t.co/8PIMOpZHuK
ModProCom,"@JoeBiden The Virus Scare and Climate Change are being used to justify a TYRANNICAL ONE WORLD GOVERNMENT that will control every aspect of your life.

Biden is a CORRUPT #WEFpuppet https://t.co/MST8UyWgCK"
JKinmanJr,"@TimRunsHisMouth Coin flip…..

We can use the $100 gold coin that Joe Biden made when he was a blacksmith at Harvard"
davidre63405768,"@Manhattan_res82 @PresidntTicTac @mech3ngr @BetteMidler @nkmjwy This guy should be kicked out, but then so many democrats lie regularly,  especially quid pro quo Joe Biden, but of course the democrat supporters don’t care about that because they’re hypocrites."
revenet42,"@GeorgeTakei In today's day and age, an experts opinion isn't much. You should have that expert take a look Joe Biden and his mental state"
purebloodswin,@JoeBiden https://t.co/5ZZXORU92D
thedeadlydonald,"@EliseStefanik Day 1) Hunter Biden, Day 2) Dr. Fauci, Day 3) Investigate FBI, Day 4) Investigate Jan6 Committee, Day 5) Joe Biden, Day 6....You'll find something"
slabman44,@hrkbenowen Joe biden
1foolon1hill,Joe Biden Escalates Ukraine War to LOOT Europe w/ Garland Nixon and Marg... https://t.co/qLAMpcqrQI via @YouTube
sadketchupp,@logical9champ @DaBears7878 @JoeBiden so youre agreeing with me that they pay their taxes because the articles concludes this and documenting immigrants would increase tax contribution
Gram2O4,@JoeBiden Please do not make a bigger ass of yourself by pretending to be a Catholic mourning Pope Benedict. Catholics do NOT promote Abortion. We March in DC to promote LIFE.
DarrenW35379839,@JoeBiden I don’t need insulin.
Victori11475541,@JoeBiden This did nothing for those with diabetes under the age of 65🤢🤢🤢
