,User,Tweet
271,HadiqaShah10,"Shehbaz Sharif took to Twitter to offer his condolences to Indian Prime Minister Narendra Modi on the passing of his mother.
“There is no loss greater than losing one’s mother,” PM Shehbaz wrote."
272,embedded_house,"Tim Cook and Japanese PM Kishida Discussed User Privacy, Digital 'My Number' IDs, and More: When Apple CEO Tim Cook visited Japan earlier this month, he met with Japanese Prime Minister Fumio Kishida to discuss the App Store, Apple's… https://t.co/65XblFkpQl #mac #apple #news"
273,musicbanglatv13,"Joka to Taratala Metro Inauguration. Finally after a long wait, this metro will run from 2nd January 2023 for public. PM Narendra Modi, CM Mamata Banerjee were present virtually and Railways Minister Ashwini Vaishnaw was present in person.

#metrokolkata

https://t.co/jYqpsGs06I"
274,UltimatumArmada,Foreign Minister of Afghanistan @MHaneefAtmar extends heartfelt condolences on the demise of PM @narendramodi's mother Heeraben Modi.
275,cryptocrypt123,"@narendramodi Salute 4u Modi ji ek taraf itna dukh hone k babjood aap desh k baare me soch rahe ho, hme shayad hi aise PM kabhi milenge jaise aap ho. Salute 4u from heart. Bhagwan apki mata ji ki atma ko shanti de or apko shakti de. Thanks 4 being our leader THE PRIME MINISTER"
276,JimMurp77852985,"@atRachelGilmore You're just about there Rach, people are pissed off because the PM has divided us. Made life unaffordable for so many, and is the most racist, hypocritical, corrupt Prime Minister in Canadian history."
277,VijayaSinha,"My heartfelt Condolences for the demise of Prime Minister's beloved mother Srimati Hira Ba. May God give strength to PM Sir and his family to bear this  big loss. RIP HIRA MAA.
OM SHANTI 🙏🙏🙏
#NarendraModiji #PrimeMinisterNarendraModi https://t.co/nBXWLFb15i"
278,mccue_darlene,"@FibonacciMonica And, never has a Canadian Prime Minister, denigrated Canada and its citizens, ever!!!  I cannot even compare any PM to Trudeau, because I cannot recall any PM, ever, even come close, to what he has done.  He is not a leader.  Rather a divide and conquer type.  Disgusting."
279,DrVipulVyas,"Emotional Intelligence in action!

6 AM - Mother of Prime Minister of India's demise made public

9:30 AM - PM arrives at Ahmedabad from Delhi to attend final rites of his mother like a common citizen 

11 AM - Resumes work at Delhi

No VIP visits
No Road…https://t.co/fGgigEglNT"
280,GeorgeT55804465,@RobertAWiseman @CPAC_TV Polievre will do and say anything he thinks will get him elected Prime Minister. That’s great news for all the Canadians who are happy to give Trudeau another term as PM in a couple of years.
281,shivshorya9496,@RailMinIndia currently 4 person smoking in 22995 mandor express (general bogi) and abusing to prime minister and at night 11 pm they shouted loudly. Please @RailMinIndia do something? @RPF_INDIA https://t.co/QD7scfdN9E
282,AldoMedia,"Tim Cook and Japanese PM Kishida Discussed User Privacy, Digital 'My Number' IDs, and More: When Apple CEO Tim Cook visited Japan earlier this month, he met with Japanese Prime Minister Fumio Kishida to discuss the App Store, Apple's… https://t.co/lFzj3G5N2i #Apple #Mac #Rumors https://t.co/jQ0ggO9jPf"
283,Akhigm,"Buzz that PM Modi may rejig his ministerial team after January 14.
Please sack the I&amp;B minister and send back Anurag Thakur to HP for party work. 
Get someone who understands the publicity game well to squeez the freeloaders like Kejriwal &amp; Gandhi Family."
284,navalag68391155,@narendramodi @RishabhPant17 Honourable prime minister I extremely extremely panic n troubling for ours mother passing https://t.co/7WZ7229NXz much hurted for this news but I extremely proud how yours loved with ours mother that example of such great careness and beloved one. I salute you pm sahab.mis u ma
285,ShaunJClarkson,@Ned_Donovan But the PM want's a chef was the plot of a whole Yes Prime Minister (Hacker won!)
286,sahasangeeta85,@KapilMishra_IND @narendramodi Heartfelt condolences to PM Modiji.May your Mother be forever loved by the nation for producing an active Prime Minister for the country
287,sankarG1234,"@narendramodi 🎤"""" Great country 🇮🇳 Great administration 👨‍👩‍👦👨‍👩‍👧‍👦👨‍👩‍👧 Great prime minister 🧔 we want again 2024 your rule pm Modi ji 💐"
288,sankarG1234,"@narendramodi 🎤"""" Great country 🇮🇳 Great administration👨‍👩‍👦‍👦💑👨‍👩‍👦👨‍👩‍👧‍👦👨‍👩‍👧 Great prime minister 🧔 we want again 2024 your rule pm Modi ji 💐"
289,sriniwasraos1,"Prime minister Shri Narendra Modi ji
6 AM - News of mother's death in public.
9.30 AM - Antya Samskar done like a commoner.

No VIP visits.
No traffic jams.
No fans screaming slogans.
No acres of land for samadhi.

11 AM - PM back to duties via a video conference meeting"
290,IndiaToday,"PM of Bangladesh #SheikhHasina offered condolences to Prime Minister #NarendraModi over the death of his mother #HeerabaModi. 
(@SahidulKhokonbd)

https://t.co/2YvZph0kJF"
291,JSPHemu,"Deeply saddened by the demise of PM @narendramodi Ji’s beloved mother #HeerabenModi Ji!

My heartfelt condolences to the Prime Minister &amp; other members of his family!

Om Shanti!🙏 https://t.co/xrXQEs0oRY"
292,Narendr_24,"@KapilMishra_IND @narendramodi 🙏 True Simplicity of life being as a Prime Minister🇮🇳.
My humble request to all BJP party members, leaders, ministers,and the CM should learn from our Hon PM how to work in social life &amp; personal life as an honest workaholic personality for nation growth"
293,notenoughaction,"@withmalice @rhowardbrowne I didn't..
Wikipedia: Timeline of Cov19 Japan: 
Eventually, ratings of PM Abe's cabinet became critical and critics over PM Abe's decision threatens PM Abe's career and Jiminto's reputation. As a result, PM Abe declared that he would pass over the duty as Prime Minister of Japan."
294,Faizabdii,"After his car accident on the Delhi-Dehradun highway, Prime Minister Narendra Modi met with Rishabh Pant's mother and asked about his condition. PM Modi tweeted earlier: ""by the accident involving renowned cricketer Rishabh Pant. I offer up a prayer for his health and well-being. https://t.co/ZJbIOMjI4w"
295,thetalentguru,".@ThisMorning Sussex Squad
Racism apologists swear #ThisMorning news punditry aren't racists!
Nick Ferrari a decades seasoned journalist called the PM Rishi Sunak by another Asian politician's name #SajidJavid.😳
In newrooms to racists, he's 'an asian' even if the PRIME MINISTER https://t.co/Paz2sig2GE"
296,nikhilsangtani8,"My deepest condolences to Prime Minister Shri @narendramodi  
3:30 AM - Death of Hira ba confirmed
6 AM - News in media
9.30 AM - Antim Sanskaar done

No VIP visits, traffic jams, No acres of land.

11 AM - PM back to duties 
Actions speak louder than everything!

Om Shanti 💐💐"
297,CSSMCQsdotCom,"Which Prime Minister of Pakistan has become the first PM of the country to be removed by a no-trust vote.
A. Nawaz Sharif
B. Imran khan
C. Moulana Fazlul Rahman
D. None of these
&lt;
#READ_MORE 👇"
298,JitusarmahRaj,"Deeply saddened by the passing of the beloved mother of Prime Minister Mr.@narendramodi  Sir. I would like to express my heartfelt condolences to PM Modi ji and the family members.May her soul rest in peace.
   -Jitu Sarmah Rajkhowa
  -President Assam State Journalist Union"
299,TomthunkitsMind,'Watch NZ Prime Minister Jacinda Ardern pick apart this reporter's question during a joint press conference with Finnish PM Sanna Marin. He asked the pair 'are you two meeting because you're similar in age and… https://t.co/6ZNmEDUzon 02
300,RVijayprajapati,"Deeply saddened to hear of the demise of Smt. Heeraben Modi. My heartfelt condolences to Prime Minister @narendramodi ji on the loss of his beloved mother. Our thoughts and prayers are with the PM and his family in this hour of grief.

Om shanti om https://t.co/Km5td6HzIK"
301,EuromaidanPress,"Poland delivers more Starlink terminals to Ukraine - Ukraine's PM 

The third batch of Starlink terminals that have come to Ukraine from Poland will be handed to Points of Invincibility, medical and energy sectors - Ukraine's Prime Minister Denys Smyhal.
https://t.co/vad6dowSsl"
302,JJt53129323,@anwaribrahim @narendramodi Joining our honourable Prime Minister of Malaysia to extend our deepest condolences for the lost of His Excellency PM of India Narendra Modi beloved mother.
303,Yash24332405,"Click Here For More Latest News: 👇👇👇
https://t.co/TffLYFyhsp
PM Modi speaks with Pant's family, inquires about his health
Prime Minister Narendra Modi dialed Rishabh Pant's family to take stock of his health after the Indian cricketer met with a horrific accident at the De… https://t.co/J6nyM2njhu"
304,RGBAtlantica,@krismeloche I've never seen a guy so afraid of national TV who wants to be a Prime Minister of Canada. He's not going to last very long as CPC leader and will never be a PM #PierrePoilievreIsBroken
305,NewsX,"#PradhanSevakModi | PM Modi's mother passed away today. After the funeral in Gandhinagar, Gujarat, the Prime Minister flagged off the Vande Bharat Express from Howrah, West Bengal. Even in grief, PM Modi did not shirk off his duty. @msharma179 discusses the development on #NewsX https://t.co/8AOxWpDGYE"
306,imDarpanRelan,"Such a tragic day today I woke up to the news of @RishabhPant17 Accident then Honourable Prime Minister @narendramodi Ji's Mother Demise and just heard one of my close family member passed away
Condolences to PM for the loss"
307,venkateshkanike,"@AmitShah The whole world has seen PM's determination towards the motherland 🇮🇳

Everyone is appreciating the dedication and dutifulness of our Prime Minister @narendramodi ji

Doesn't take leave even after mother's death

His strong character, commitment and values ​​are reflected today! https://t.co/zj7LW9Rk1G"
308,FibonacciMonica,"PM Justin Trudeau complains that never in Canada's history, Canadians treated their Prime Minister with such disrespect like they are treating him! 

He is absolutely correct"
309,DrSPPuri5,"Salute to our Prime Minister.
My condolences to the PM and his family @narendramodi"
310,techzineeu,Italy’s new PM will seek to reanimate the company’s plans to build a plat in Veneto. Italian Prime Minister Giorgia Meloni said on Thursday she would request a meeting with representatives… https://t.co/GGjm6jhAup #Infrastructure #Intel #Italy #Meloni #Piedmont - Follow for more
311,BharatFirst6,"*Please Zoom and See the Picture, Prime Minister is Traveling in a Mortuary Van, with the Corpse of His Mother*. 

*Truly Simple Man..Respect to this Great Man, our PM*

No VIP movement, NO inconvenience to public, NO big land captured for samadhi

Truly a KarmaYogi, KartavyaYogi https://t.co/olSg48MI1c"
312,JonnyTightLipzs,@juneslater17 @beverleyturner @LeilaniDowding @JamesMelville @Togetherdec 😂 Looks like you may have an ex drama teacher for a PM just like we do in Canada. Didn’t realize acting was such an integral part of being a Prime Minister!
313,prakashB03,"@AmitShah Hon Amith Shawji Home Minister of great India,requested Mysore Division citizens to Vote in favour of BJP in the up coming Karnataka Assembly elections to strengthen the Hands of Narendra Modiji,PM of India,for the Development works and to save Hindusthan from the hands of oppres"
314,whrc_bsd,"@narendramodi Saddened to hear the demise of 💐🙏Smt. Heeraben, mother of our Lovely PM Shri @narendramodi ji.

My heartfelt condolences to Hon'ble Prime Minister.

I also pray for the eternal peace of the departed soul. Om Shanti 💐🙏🙏 Biswa Ranjan, Social Worker 🙏"
315,MarthaMilne1,"Each year hundreds of thousands of baby seals are killed during Canada’s seal hunt. Sign our alert to urge Canadian Prime Minister #JustinTrudeau to end this brutal, unnecessary killing. #SaveOurSeals #BeKind https://t.co/RXxjnwZjue  Please! Click &amp; send the letter to PM Trudeau!"
316,Yashunal,"🇮🇳🇦🇪: President Sheikh Mohamed bin Zayed offered his deepest condolences to his dear friend Prime Minister Narendra Modi on the passing of PM Modi's mother, Heeraben Modi"
317,venkateshkanike,"The whole world has seen PM's determination towards the motherland 🇮🇳

Everyone is appreciating the dedication and dutifulness of our Prime Minister @narendramodi ji

Doesn't take leave even after mother's death

His strong character, commitment and values ​​are reflected today! https://t.co/ZE2yDYrIrt"
318,Yashunal,"🇮🇳🇮🇱: Recently 6th time elected Prime Minister of Israel Benjamin Netanyahu (a close friend of India) extends his deepest condolences on the sad passing of his friend PM Modi's mother, Mataji Hiraben"
319,Abhishe63327156,@BCCI @narendramodi Our pm modi ♥️ we are fortunate that we have prime minister like Shri Narendra modi ji .... His continuous work for nation despite huge loss today is inspiring.... Love you modi sir ♥️♥️♥️🇮🇳🇮🇳🇮🇳🇮🇳
320,Yashunal,🇮🇳🇸🇬: Singapore Prime Minister Lee Hsien Loong has written to PM Narendra Modi to express condolences on the passing of Mataji Heeraben Modi
321,Adamiington,"“Saddened to hear the news about Indian Prime Minister Mr. @narendramodi’s mother, #HirabenModi, passing away.
My thoughts and prayers are with PM Modi and his family during this time of mourning” - H.E President, Mr. @ibusolih https://t.co/pnDlFhJ9Ss"
322,ProfDrAKSinha1,"@narendramodi Our most respected Prime minister.India is proud to have you sir as PM of this great country .
Sir besides modernising and bringing high tech coaches , there is need to drastically improve the existing infrastructure and and moral   and ethics of train employee."
323,VSriKaUvacha,"@Tarunvijay Pl name the Prime Minister of India whose party or supporters organised VIP visita, created traffic jama, screamed slogans &amp; gobbled acres of land for the Samadhi of his/her mother. Mr @BJP4India. You may also if any PM of any other country who did all these."
324,souravduttahere,"Hon'ble Prime Minister of Israel, Mr. @netanyahu mourns the death of Hon'ble PM @narendramodi ji's Mother. 🙏"
325,AndyVermaut,"Andy Vermaut shares:Maldives President Solih condoles demise of PM Modi's mother: New Delhi [India], December 30 (ANI): Maldives President Ibrahim Mohamed Solih on Friday condoled the death of Prime Minister Narendra Modi's mother Heeraben… https://t.co/PrJrI1dfbD Thank you. https://t.co/rGzK3Aq75D"
326,AIBSNews24,"Karnataka | Since PM Modi came to power, he has given momentum to innumerable farmer-centric schemes: Union Home Minister Amit Shah at 'Sahakar Labharthi Sammelan' in Bengaluru https://t.co/NWcxDtmr8l"
327,ManzoorKulgami,"A mother is with us always,first in her lifetime,then forever in our memory!Deeply saddened to hear of the demise of Smt.Heeraben Modi. My heartfelt condolences to Prime Minister @narendramodi ji on the loss of his beloved mother.Our thoughts and prayers are with the PM
#Modiji https://t.co/R3SqHNzxeQ"
328,TomthunkitsMind,'Watch NZ Prime Minister Jacinda Ardern pick apart this reporter's question during a joint press conference with Finnish PM Sanna Marin. He asked the pair 'are you two meeting because you're similar in age and… https://t.co/6ZNmEDUzon
329,mat_3rd,@davidfrum @TheHubCanada @Sean_Speer We have a similar constitutional problem in Australia. The Governor General is selected by the Prime Minister. Both have the power to dismiss one another. Famously in 1975 the GG of the day dismissed the then PM. It’s far from an ideal constitutional arrangement.
330,NationalistHub,"Pakistan Foreign Minister Bilawal Bhutto Shocking Allegations On PM Modi | Nationalist Hub
@narendramodi 

@sai_nationalist &amp; @GiridharMamidi 

#pakistan #modi #gujarat 
#nationalisthub #PMModi 

▶️https://t.co/1MET4YgORH https://t.co/wbWsMAYaW1"
331,PatnaikLatika,"Rourkela is Witnessing Major Development in Modi Government.
On 2014 Modi Ji Committed for 2nd Bridge over River 
Brahmani, Airport, Super Speciality Hospital all Completed.
My Heartfull of Thanks to Hon'ble PM @narendramodi Ji ,Union Minister @JM_Scindia Ji &amp; MP @jualoram Ji ."
332,it_rthalapathy,"Om Shanti Maata Heeraban Modi; The people of India grieve with you today Shri PM Modi ji; Deeply saddened to hear the news. This is a of loss for the entire nation, the people of India will be your strength and stand by you Prime Minister. @narendramodi https://t.co/KMAi86o57y"
333,SherylShah3,@ashoswai @KTRTRS @prakashraaj @pbhushan1 @BTR_KTR @akshayhunka @rejitweets @zoo_bear @KonathamDileep @drgaganbhagat Abe gadhe wo Prime Minister hai tera jaisa ghatiya politics karnewala nahi hai pm pe har second camera hona jaruri hai
334,tej_veersivaji,"PM Modi flags off Vande Bharat Express connecting Howrah to New Jalpaiguri, in West Bengal, via video conferencing. West Bengal CM Mamata Banerjee, Union railway minister Ashwini Vaishnaw &amp; other leaders present at the event in Howrah. https://t.co/apDSvUzqw1"
335,OrangePowly,"Sudden omission of identity politics or racism claims from our Prime Minister when an aboriginal kills a cop! LILLEY: OPP Commish, Premier Ford call on PM to act on justice reform | Toronto Sun https://t.co/LbU7kcFnIK"
336,taraxaco,"@BenjaminNorton Pakistan’s ex Prime Minister Imran Khan compared the US-backed coup against him in April 2022 to the CIA plot that overthrew Iran’s elected PM Mohammad Mossadegh in 1953. 
Sources and more information here: https://t.co/FKMeDwrOan...
 https://t.co/uvBIitNZI3"
337,MathlanaC,"My heartfelt condolences to Hon'ble PM Shri @narendramodi on the passing of his beloved mother, Smt. #HeerabenModi. A simple lady with high principles, who raised a small boy to become the Prime Minister of India. May her soul rest in peace 🙏"
338,subashdhr,"Very sad to hear the death of Heera Ba Mother of our hon’ble Prime Minister Sh Narinder Bai Modi ji our, May god rest her noble soul in peace. My deepest condolences to our PM."
339,mani_iyer0761,"@narendramodi Our Respected Prime Minister 
Deeply Saddened By The Demise Of Your Revered Mother -   पूज्य माताजी 
Accept Our Heartfelt Condolences &amp; Grief. A Life Fully Lived She was a Champion &amp; Will Be Proud Of You Sir PM . The Heavens Will Be Brighter With Her Presence. 
Om 🕉 Shanti."
340,seenloner,"IMRAN KHAN WAS CONTINUOUSLY BEING ADDRESSED AS MR PRIME MINISTER. NOBODY WANTS TO ACCEPT CERTIFIED CRIMINAL SHEBAZ SHARIF AS PM. HE IS WORSE THAN A JANITOR, BEGGAR.

عمران خان کا ترکی کے سکالر سے خطاب کا اٗردو ترجمہ آگیا خطاب نے پوری دنیا میں دھوم مچا دی
https://t.co/yeswXo1mEx"
341,JawadSChaudhry,"Prime Minister Shehbaz Sharif chairs a meeting of the NSC on Friday.—PID

PM Shahbaz Shariff has good thinking for the country. While  Niazi is busy destabilizing with his dharnas, protesting and leaving assemblies for the chair of PM!"
342,ddeepak012,"#HeerabenModi love you my pm @narendramodi your a best son and also a best Indian PM 
We are selected a best prime minister"
343,telugustop,"రిషబ్ పంత్ కారు ప్రమాదం పై స్పందించిన ప్రధాని మోడీ..!! - Prime Minister Modi Reacts On Rishabh Pant's Car Accident PM Modi   #CricketerRishab #PMModi #PrimeModi #RishabPanth #Rishabhpant #Uttarakhand #Telugu #TeluguStop

https://t.co/RZx3IbLV9b"
344,KaipaRavi,My heartfelt condolences to our Prime minister Narendra Modi on the saf demise of his mother. May god bless her soul with SADGATI and strength to our PM to bear this irrecoverable loss.
345,Moosa_885,@CMShehbaz @narendramodi You are bekhrrii not our prime minister our pm One and only khan
346,airnewsalerts,"Bangladesh PM #SheikhHasina expresses deep shock &amp; sorrow at passing away of PM Narendra Modi’s mother #Heeraben Modi. Calling Heeraben a proud mother, PM Hasina says her role as a mother, motivator &amp; mentor was instrumental in every aspect of Prime Minister @narendramodi's life."
347,nitinmanga,@rajinikanth @narendramodi @PMOIndia He is Prime Minister of the country for god’s sake. Show him some respect and not say Dear. Using Honourable PM is a learned person’s way…
348,punit2582foreve,"Very sad to hear about the demise of smt meera ban mothor  of our honourable prime minister shri @narendramodi 
Deep condolences with our pm and entire family 
 #NZvPAK #modimother #AndrewTate #Modiji"
349,PISM_Poland,"Benjamin Netanyahu returns as Israel’s prime minister for the sixth time. @miwojnarowicz writes about PM’s coalition partners and prospects for Israeli internal and foreign policy in the latest @pism_poland Spotlight.

👉https://t.co/HnjquwdPch https://t.co/wrPImmdLnn"
350,invsible__soul,"Prime Minister Narendra Modi's mother Heeraben Modi, who died early this morning, has been cremated in Gandhinagar. PM Modi performed the last rites. Heeraben Modi was 99.

@BinderDanoda #HeerabenModi"
351,stevey36,"@DalvirS10199998 @RishiSunak You don't understand. We vote for the MP to represent our constituency,  the party with the most elected MPs control Parliament and the leader of that party is the prime minister. If the party then decide to elect a new leader that person becomes PM."
352,jankibaat1,"Watch Pradeep Bhandari on tonight's special broadcast of Janta Ka Mukadma only on India News at 8 PM tonight as the country pays tribute to Prime Minister Narendra Modi's mother Heeraben Modi. 

#HeerabenModi #NarendraModi 
@JMukadma #HeerabenModiPassedAway https://t.co/ronhuMMa5T"
353,ascendantleo123,"@ChanLPfa if he was a functional &amp; strong opposition leader, we wouldn’t see those flags or the freedom convoy protest! His weak &amp; pathetic messaging help elect a teenager into PM office, we r all struggling with this so called prime minister and his stupid agenda-driven bills he’s passing"
354,FaisalB03265422,"@MNAmandokhail We request Prime Minister, federal government and sindh government to make PM's youth scheme candidates permanent."
355,FaisalB03265422,"@MNAmandokhail We request Prime Minister, federal government and sindh government to make PM's youth scheme candidates permanent."
356,shuklaji4381,"@KP24 @narendramodi Thank you on the behalf of all of us , this is not for that you condolenced for our pm but because this Honours us as a Nation and our ideology that the world is one family .
May God grant power to our Prime Minister Sir and the entire family.."
357,India_on_move,"""Your Prime Minister Is Dead"" is a 2018 book written by Anuj Dhar on the mysterious death of Former PM Lal Bahadur Shastri"
358,SebastianRogac,#Croatia’s Prime Minister @AndrejPlenkovic and #Israel’s PM Benjamin Netanyahu confirm in phone call joint intention to further strengthen close relations and partnership between Croatia and Israel. 🇭🇷🇮🇱 @BeKroatia @IsraelinCroatia
359,SURYASOLDIER108,"@ashoswai @KTRTRS @prakashraaj @pbhushan1 @BTR_KTR @akshayhunka @rejitweets @zoo_bear @KonathamDileep @drgaganbhagat India ka Prime Minister hain vo
Do kodi ka pappu jab camera nahi chhodta to PM ke to har ek moment imti hai.

Suar hi rahoge tum"
360,TheDailyPioneer,"#Bengaluru: Since PM Modi came to power, he has given momentum to innumerable farmer-centric schemes: Union Home Minister Amit Shah at 'Sahakar Labharthi Sammelan' in Bengaluru. #NarendraModi #AmitShah #SahakarLabharthiSammelan https://t.co/gcnPccmb2z"
361,ShoeShineBoy11,"@TheoMoudakis @TorontoStar We need a new PM, Pierre has broken Canada when we elected him Prime Minister in 2015."
362,CricInformer,"From Prime Minister to Virat Kohli, Everyone Prayed For Rishabh Pant’s Speedy 

#PM #Cricket #CricketNews #RishabhPant #ViratKohali #cricinformer #RishabhPant #RishabhPantAccident #RishabhPantCarAccident

https://t.co/f14Tziuspo"
363,Rabindra_JLC,"I am deeply saddened to hear about the passing of great Heeraben ji, mother of Rt.Honourable Prime Minister Narendra Modiji. My heartfelt condolences to Hon. PM ⁦@PMOIndia⁩ &amp; his entire family in this time of grief. May the departed soul Rest in Peace.⁦@narendramodi⁩ https://t.co/wjKVxuLKHF"
364,AksTab0,Bihar chief minister Nitish Kumar condoles death of PM Modi's mother  #news #dailynews #currentaffairs https://t.co/SafnIPUwrs https://t.co/hCg81Xzmww
365,dutchenglishman,"@AviMayer Netanyahu becomes Israel's ninth Prime Minister. Of those 9 PM's, Netanyahu himself has been 12."
366,takeonedigital,‘Nothing cancelled’: Defence Minister as PM Modi refuses to halt programs after mother’s demise https://t.co/vTOHAA5q4j
367,SukanyaActor,Deeply saddened by the demise of Heera ben Ji the Mother of our Honourable Prime Minister  Shri #Narendra #Modhiji. Heartfelt condolences to the family. Pranams to you for giving us a wonderful PM. AUM Shanthi 🙏🙏🙏 https://t.co/TwHAzZvSEO
368,UltimatumArmada,"Prime Minister of Bangladesh Sheikh Hasina on Friday expressed deep shock and sorrow on the death of PM 
@narendramodi's mother #HeerabenModi. https://t.co/He86XgltXW"
369,DesiGodha,@anuragteddy Congress ko khatam hone se koi nhi baacha skta...somrtimes we voters feel Rahul Gandhi should join BJP and enjoy a cabinet minister post...Modi ke baad PM bhi ban skte hai
370,ANI,"Karnataka | Since PM Modi came to power, he has given momentum to innumerable farmer-centric schemes: Union Home Minister Amit Shah at 'Sahakar Labharthi Sammelan' in Bengaluru https://t.co/2a70MLnEMO"
371,UltimatumArmada,Prime Minister of Singapore Lee Hsien Loong has written to PM @narendramodi to express condolences on the demise of his mother #HeerabenModi. https://t.co/BCiEtQJ1jJ
372,jankibaat1,"World leaders condole demise of Heeraben Modi, mother of Prime Minister Narendra Modi. 

Watch Pradeep Bhandari on the special broadcast of Janta Ka Mukadma only on India News at 8 PM. 

#HeerabenModi #HeerabenModiPassedAway
#NarendraModi @JMukadma https://t.co/WwBTD5tJJj"
373,AnusKhan01,"Prime Minister Shehbaz Sharif held telephone conversation with Turkish President Recep Tayyip Erdoğan. The PM invited President Recep Tayyip Erdoğan to the International Conference on Climate Resilient Pakistan being co-hosted with the United Nations in Geneva on January 9, 2023. https://t.co/DcQhwTTpwd"
374,religionworldIN,Indian PM @narendramodi lost his beloved mother today. The last rites done according to hindu rituals. Prime Minister Narendra Modi and his brother Somabhai Modi perform the last rites of mother Heeraben Modi. #HirabenModi #HIRABA #NarendraModi https://t.co/DxPttz1szl
375,TOIIndiaNews,Bihar chief minister Nitish Kumar condoles death of PM Modi's mother https://t.co/5OmwmdDg3S
376,NewsChuck2,@guardian @ChantayyJayy @scottygb I think what’s even crazier is that the shortest-serving prime minister in British history happened to be in office the day the longest-serving monarch in British history died. Liz Truss will always be remembered as the who’s-that PM announcing the Queen’s death.
377,sanjivjha007,Prime Minister Narendra Modi ji mother Heeraba passes away aged 100. Prayers and Condolences to PM Narendra Modi ji and family in moment of grief. ॐ शांति शांति 🙏🙏
378,Omani1love,"PM of Italy will go to Zelensky to negotiate peace

“I told Zelensky that Italy is ready to become the guarantor of a possible peace agreement and is ready to help this process. That is why I plan to go to Kiev before the end of February”

Prime Minister of Italy
Giorgia Meloni https://t.co/sKO7dGlpuQ"
379,kan1960,Send your messages to Prime Minister Modi  https://t.co/MHCEieiRAC Deeply saddened about the demise of your beloved mother. Heartfelt Condolences . Bharath Matha has lost a precious child who gave birth to our beloved PM. Regards
380,EngrHazratyoun1,"Alhamdullah our letter has reached to the Prime Minister Pakistan sir @CMShehbaz .We hope that PM will take action and will solve our issue.
Also thanks to sir @sukburki for forwarding our letter to the PM .We salute to the struggle of sir Sami Ullah khan Burki. https://t.co/JLa7TY2SmJ"
381,jankibaat1,"Prime Minister Narendra Modi bids final adieu to his mother Heeraben Modi. 

Watch tonight's special broadcast of Janta Ka Mukadma only on India News at 8 PM. 

#HeerabenModi #HeerabenModiPassedAway #NarendraModi @JMukadma https://t.co/iCWjibLOUx"
382,charlesshahid,Our Heartfelt Condolences to Prime Minister Shri @narendramodi ji and his Family on the Sad Demise of his Mother. May Her Soul Rest in Peace. PM @narendramodi Modi's Mother Passes Away Aged 100. @PMOIndia @OfficeOfLGJandK @dcganderbal @srinagaradmin @lg_ladakh @shehreyardar
383,revraysmithis,"@raepat I agree, the Trudeau haters are our Canadian DEPLORABLES. PM Trudeau is a great leader, he understands to his core the multicultural country he so skillfully leads. He’s a Prime Minister for all of us."
384,imSR_100,"Deeply saddened by the demise of PM
@narendramodi Ji's beloved mother
#HeerabenModi Ji!

My heartfelt condolences to the Prime Minister &amp; other members of his family!

Om Shanti! 🙏 https://t.co/4LT7kdHomE"
385,kashyapvaishnav,"PM Modi virtually chairs National Ganga Council meeting in Kolkata

After conducting the final rituals for his mother, who passed away early this morning, the prime minister virtually joined the meeting.

The National Ganga Council has been entrusted with general"
386,jankibaat1,"We look back at times when Prime Minister Narendra Modi remembered his mother Heeraben Modi on tonight's special broadcast of Janta Ka Mukadma with Pradeep Bhandari on India News at 8 PM. 

#HeerabenModi #HeerabenModiPassedAway #NarendraModi @JMukadma https://t.co/xITK3DRlaV"
387,RiseupInfotech,"Rest of Peace #HeerabenModi ॐ शान्ति। 🙏💐
We, @RiseupInfotech deepest condolences to Hon’ble Prime Minister Shri @narendramodi ji.
This Nation will always remain indebted to Heeraba Modi for giving us The Best PM of India #NarendraModi Rest in Peace #HeerabaModi https://t.co/UmJaZVVzb3"
388,devrajjob2,"#PMModi #India 
My deepest condolences to Prime Minister Shri narendramodi
  on the sad demise of his beloved mother, Smt. 
May her atma attain sadgati! Om shanti...
PM Modi carries the mortal remains of his late mother Heeraben Modi in A... https://t.co/D2vb3NCSZN via @YouTube"
389,jaysoctave,"🙏 Our Deepest Condolences to Prime Minister Shri @narendramodi on the sad demise of his beloved mother, Smt. Heeraben Modi 🙏.
A simple, principled lady, she raised a fine son in our PM Shri Narendra Modiji.
#primeminister #narendramodi #pmofindia #india #heeraben #rip https://t.co/MvKi1bc1mU"
390,adduXfiles,"Deeply saddened to hear of the demise of Smt. Heeraben Modi. My heartfelt condolences to Prime Minister @narendramodi ji on the loss of his beloved mother. Our thoughts and prayers are with the PM and his family in this hour of grief.
@MEAIndia 
@BJP4India 
@HCIMaldives https://t.co/WSHENrGr3w"
391,tomcoates,@shiftingshifter @HackneyAbbott @jeremycorbyn I’d also probably point out that Putin wasn’t even Prime Minister of Russia until 1999. Today he’s been PM or President for 23 years. It seems reasonable to me to suggest that we know more than we did then about him and his guiding philosophy.
392,NELiveTV,"CM @Neiphiu_Rio stated that he spoke with the Prime Minister's office, the PMO informed that PM Narendra Modi intends to visit the poll-bound state.

#Neiphiurio #nagaland #nagaissue #nagapeacetalks #northeast #elections #northeastlive #nagalandpolls2023

https://t.co/EgrR4RrhBk"
