,User,Tweet
27,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/aLfcwlJwcY"
28,Cate2pilates,@jasrajshallan @PierrePoilievre I stand with PM Trudeau. He gives me hope. pp is not prime minister material. He rages fear while he brings coffee n donuts to seditionists. #FUCKpp #fuckpierrepoilievre
29,sktodaysnews,"Britain PM Rishi Sunak: British Prime Minister Rishi Sunak said in his New Year message on Saturday (December 31) that Britain's problems will not go away in 2023. # # # # # # # # # #

https://t.co/ztdYaYMgZs"
30,BassamMelh,"@RegPSpivey @Vurnsack @natnewswatch Pee pee also supported a crowd whose explicit goal was to overthrow the elected Trudeau govt and kill the PM. Presumably to install skippy as their new prime minister!

#FreedomConvoy? or criminal traitors financed by foreign money &amp; #PutinPoopedHisPants ?"
31,StigmabaseU,{IN Fighting Stigma} Nitish says he has no problem with Congress pushing Rahul Gandhi as PM candidate: Bihar Chief Minister Nitish Kumar on Saturday said that he has no problem with the Congress party pushing for Rahul Gandhi as its prime ministerial… https://t.co/KtBNx3nK4Q
32,Channel4News,"The year at Westminster started with a prime minister under pressure over Covid lockdown parties.

It's now finishing with a third PM and a political system seeking to recover after months of turmoil.

@GaryGibbonC4 reports.

https://t.co/MpJmRJxdHN"
33,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/7CxIcF6Zjs"
34,Ayanalinaqvi,"Dear prime minister Mr Narendra Modi year 2022 is now ending but your promises are waiting you 😌 I wish you will done these till 2024 because after 2024 you will be not definitely become PM as per your past performance 😏
@narendramodi @BJP4India https://t.co/DpjKcQW3Ly"
35,etf_dividend,"⚡In the #News at 12:09 PM👇
📰
Russia wants to 'leave us in the dark for the New Year,' says Ukrainian 
prime minister"
36,Rod__Mason,"@sarahisitme @BodellePhebe @Hoopie1261 @Torydemocrats You really don’t agree that a Prime Minister can sack his Chancellor if their approach to taxes doesn’t align?

Boris allowed UK taxes to go higher than they’ve ever been in history; much higher than even any Labour government ever! 

Sunak has just pushed them even higher as PM!"
37,Rod__Mason,"@sarahisitme @BodellePhebe @Hoopie1261 @Torydemocrats Come off it Sarah!

You can’t say a Prime Minister wanted taxes to come down but that his Chancellor overruled him and put them up instead.

A Chancellor is chosen by the PM, who can simply sack him if he won’t do as he’s told. 

Boris is a socialist."
38,jawa998,"@BorisJohnson You’re nobody a failed journalist , mayor , prime minister . Funnily enough I predicted you would be the worst PM ever and you was although the last 2 are running you close https://t.co/zrAHboTQlI"
39,irfansh98664282,@ImranKhanPTI Sir you are our prime minister you are our first and last hope my beloved pm IK sahb hm ny ap ko vote diy 14 thousand teachers are waiting you would not disappoint us https://t.co/gUP34Eq2lA
40,omarsachedina,"From healthcare, to economic headwinds, to pandemic protests, and China and Ukraine, our year-end conversation with Prime Minister Justin Trudeau covers all of this and more.

It airs tonight on CTV at 7 pm. https://t.co/5ctKoLZ82Z"
41,BatoolZehra1983,"2022 me hum Pakistaniyoon ne bht kuch paane ki cha me, Bht Kuch acha kho diye..... 
1. Mr. Prime Minister IMRAN KHAN SABHE (as PM)
2. Shaheed Arshad Shrif (an honest JOURNALIST
3. Azam Swati jese buzurg ne (Bezathi Bardasht ki or Kr Rehe han)
#HappyNewYear2023 https://t.co/9iHDwYpGtI"
42,RohitKu56762491,"Nitish Kumar makes veiled attack on RSS, PM Modi; says talks are all around about 'new father of modern India' Nitish vs BJP: Bihar Chief Minister Nitish Kumar, on Saturday, made a veiled attack on the Rashtriya Swayamsevak Sangh (RSS) and Prime Minister Narendra Modi.... ""F… https://t.co/wYxn5UdERC"
43,Ayenge_ToYogiHi,"What kind of condolence is this? So late, so cold.

The Honorable PM is elder to you in both age and position. He is no friend of you.

Tahjeeb is what one gets from home, you surely lack that, your tweet certifies that, referring to the Prime Minister this way. Shame"
44,PTSDSUVIVIOR,"@RishiSunak A unelected pm, borrowing billions to waste on hotels for illegals who broke law after law , an Ukraine. 
We Want a english prime minister  to act on our behalf not the rest of the world."
45,TerryIreton,"@FibonacciMonica If we had a Prime Minister worthy of respect, we would respect them. He has NO RESPECT for Canadians so what makes him think he is entitled to ours? Patiently awaiting our NEXT PM."
46,NagarajuSreekar,"@Sanjaykumar_99 @krishanKTRS Sanjay, Be Genuine Is PM Modi working on cremation day is not Publicity Stunt. Can't Railway Minister start it. There are many development activities in #Telangana  started by many People. Can't PM Modi cancel that programme, Is it that important?  Answer genuinely"
47,picknews_,"【Apple CEO Cook conveyed app store curb concerns to Japan PM】

Apple Chief Executive Tim Cook asked Japanese Prime Minister Fumio Kishida to consider protecting users when regulating distribution of smartphone apps, Nikkei reported on Friday citing sources."
